"Label (Grouping)","SEX AND AGE","SEX AND AGE!!Total population","SEX AND AGE!!Total population!!Male","SEX AND AGE!!Total population!!Female","SEX AND AGE!!Under 5 years","SEX AND AGE!!5 to 9 years","SEX AND AGE!!10 to 14 years","SEX AND AGE!!15 to 19 years","SEX AND AGE!!20 to 24 years","SEX AND AGE!!25 to 34 years","SEX AND AGE!!35 to 44 years","SEX AND AGE!!45 to 54 years","SEX AND AGE!!55 to 59 years","SEX AND AGE!!60 to 64 years","SEX AND AGE!!65 to 74 years","SEX AND AGE!!75 to 84 years","SEX AND AGE!!85 years and over","SEX AND AGE!!Median age (years)","SEX AND AGE!!18 years and over","SEX AND AGE!!21 years and over","SEX AND AGE!!62 years and over","SEX AND AGE!!65 years and over","SEX AND AGE!!18 years and over","SEX AND AGE!!18 years and over!!Male","SEX AND AGE!!18 years and over!!Female","SEX AND AGE!!65 years and over","SEX AND AGE!!65 years and over!!Male","SEX AND AGE!!65 years and over!!Female","RACE","RACE!!Total population","RACE!!Total population!!One race","RACE!!Total population!!Two or more races","RACE!!One race","RACE!!One race!!White","RACE!!One race!!Black or African American","RACE!!One race!!American Indian and Alaska Native","RACE!!One race!!American Indian and Alaska Native!!Cherokee tribal grouping","RACE!!One race!!American Indian and Alaska Native!!Chippewa tribal grouping","RACE!!One race!!American Indian and Alaska Native!!Navajo tribal grouping","RACE!!One race!!American Indian and Alaska Native!!Sioux tribal grouping","RACE!!One race!!Asian","RACE!!One race!!Asian!!Asian Indian","RACE!!One race!!Asian!!Chinese","RACE!!One race!!Asian!!Filipino","RACE!!One race!!Asian!!Japanese","RACE!!One race!!Asian!!Korean","RACE!!One race!!Asian!!Vietnamese","RACE!!One race!!Asian!!Other Asian","RACE!!One race!!Native Hawaiian and Other Pacific Islander","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Native Hawaiian","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Guamanian or Chamorro","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Samoan","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Other Pacific Islander","RACE!!One race!!Some other race","RACE!!Two or more races","RACE!!Two or more races!!White and Black or African American","RACE!!Two or more races!!White and American Indian and Alaska Native","RACE!!Two or more races!!White and Asian","RACE!!Two or more races!!Black or African American and American Indian and Alaska Native","RACE!!Race alone or in combination with one or more other races","RACE!!Race alone or in combination with one or more other races!!Total population","RACE!!Race alone or in combination with one or more other races!!Total population!!White","RACE!!Race alone or in combination with one or more other races!!Total population!!Black or African American","RACE!!Race alone or in combination with one or more other races!!Total population!!American Indian and Alaska Native","RACE!!Race alone or in combination with one or more other races!!Total population!!Asian","RACE!!Race alone or in combination with one or more other races!!Total population!!Native Hawaiian and Other Pacific Islander","RACE!!Race alone or in combination with one or more other races!!Total population!!Some other race","HISPANIC OR LATINO AND RACE","HISPANIC OR LATINO AND RACE!!Total population","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Mexican","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Puerto Rican","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Cuban","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Other Hispanic or Latino","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!White alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Black or African American alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!American Indian and Alaska Native alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Asian alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Some other race alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and Three or more races","HISPANIC OR LATINO AND RACE!!Total housing units","CITIZEN, VOTING AGE POPULATION","CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population","CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population!!Male","CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population!!Female"
"    Percent","","273,354","49.0%","51.0%","5.5%","5.3%","5.8%","6.1%","6.2%","14.4%","13.9%","14.8%","7.0%","5.9%","8.2%","4.7%","2.2%","(X)","79.5%","76.2%","18.4%","15.1%","217,340","47.9%","52.1%","41,272","42.6%","57.4%","","273,354","95.6%","4.4%","95.6%","58.0%","9.5%","0.3%","0.0%","0.0%","0.0%","0.0%","19.7%","1.0%","7.8%","2.7%","1.7%","4.3%","0.6%","1.7%","0.1%","0.0%","0.0%","0.0%","0.0%","8.0%","4.4%","0.7%","0.4%","1.5%","0.1%","","273,354","61.6%","11.0%","1.0%","21.9%","0.3%","9.1%","","273,354","26.5%","20.0%","0.3%","0.3%","5.8%","73.5%","41.3%","9.2%","0.1%","19.4%","0.1%","0.4%","3.1%","0.1%","3.0%","(X)","","187,065","47.6%","52.4%"
"San Fernando Valley CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","1,832,058","903,527","928,531","113,346","107,520","109,193","115,569","132,531","286,493","263,659","259,148","115,511","98,990","124,823","71,975","33,300","36.9","1,432,179","1,361,468","286,181","230,098","1,432,179","699,071","733,108","230,098","99,556","130,542","","1,832,058","1,764,427","67,631","1,764,427","1,192,974","68,236","8,280","600","112","220","149","202,297","21,738","21,803","78,918","10,919","33,160","11,923","23,836","2,070","815","308","350","597","290,570","67,631","9,669","6,943","21,836","1,390","","1,832,058","1,248,494","84,722","20,272","234,521","6,294","310,278","","1,832,058","779,814","520,971","9,122","8,926","240,795","1,052,244","735,255","63,897","3,554","199,471","1,839","5,282","42,946","3,155","39,791","643,978","","1,116,747","540,341","576,406"
"    Percent","","1,832,058","49.3%","50.7%","6.2%","5.9%","6.0%","6.3%","7.2%","15.6%","14.4%","14.1%","6.3%","5.4%","6.8%","3.9%","1.8%","(X)","78.2%","74.3%","15.6%","12.6%","1,432,179","48.8%","51.2%","230,098","43.3%","56.7%","","1,832,058","96.3%","3.7%","96.3%","65.1%","3.7%","0.5%","0.0%","0.0%","0.0%","0.0%","11.0%","1.2%","1.2%","4.3%","0.6%","1.8%","0.7%","1.3%","0.1%","0.0%","0.0%","0.0%","0.0%","15.9%","3.7%","0.5%","0.4%","1.2%","0.1%","","1,832,058","68.1%","4.6%","1.1%","12.8%","0.3%","16.9%","","1,832,058","42.6%","28.4%","0.5%","0.5%","13.1%","57.4%","40.1%","3.5%","0.2%","10.9%","0.1%","0.3%","2.3%","0.2%","2.2%","(X)","","1,116,747","48.4%","51.6%"
"Santa Monica CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","92,169","44,537","47,632","4,093","3,313","3,050","3,474","6,072","18,178","14,789","13,340","5,846","5,194","7,970","4,595","2,255","40.5","79,540","77,442","17,770","14,820","79,540","38,172","41,368","14,820","6,018","8,802","","92,169","87,992","4,177","87,992","73,363","4,106","251","0","2","0","31","8,606","1,071","2,911","1,188","1,148","1,399","294","595","75","12","0","44","19","1,591","4,177","495","1,130","1,637","128","","92,169","77,268","5,012","1,735","10,393","329","1,895","","92,169","14,173","8,587","277","547","4,762","77,996","61,766","3,983","33","8,556","75","84","3,499","90","3,409","50,934","","71,267","34,158","37,109"
"    Percent","","92,169","48.3%","51.7%","4.4%","3.6%","3.3%","3.8%","6.6%","19.7%","16.0%","14.5%","6.3%","5.6%","8.6%","5.0%","2.4%","(X)","86.3%","84.0%","19.3%","16.1%","79,540","48.0%","52.0%","14,820","40.6%","59.4%","","92,169","95.5%","4.5%","95.5%","79.6%","4.5%","0.3%","0.0%","0.0%","0.0%","0.0%","9.3%","1.2%","3.2%","1.3%","1.2%","1.5%","0.3%","0.6%","0.1%","0.0%","0.0%","0.0%","0.0%","1.7%","4.5%","0.5%","1.2%","1.8%","0.1%","","92,169","83.8%","5.4%","1.9%","11.3%","0.4%","2.1%","","92,169","15.4%","9.3%","0.3%","0.6%","5.2%","84.6%","67.0%","4.3%","0.0%","9.3%","0.1%","0.1%","3.8%","0.1%","3.7%","(X)","","71,267","47.9%","52.1%"
"South Antelope Valley CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","213,815","106,404","107,411","17,246","16,673","18,515","18,625","16,230","25,524","26,829","31,527","14,114","9,066","11,573","5,897","1,996","32.2","149,767","139,260","24,622","19,466","149,767","73,110","76,657","19,466","8,609","10,857","","213,815","203,740","10,075","203,740","106,170","23,985","1,186","90","0","71","6","9,339","468","912","4,531","258","1,127","668","1,375","372","76","172","100","24","62,688","10,075","1,337","1,920","1,437","416","","213,815","113,977","27,421","4,039","12,025","690","66,442","","213,815","111,041","81,711","1,900","1,002","26,428","102,774","63,589","23,164","671","9,206","196","1,003","4,945","262","4,683","65,935","","127,558","61,838","65,720"
"    Percent","","213,815","49.8%","50.2%","8.1%","7.8%","8.7%","8.7%","7.6%","11.9%","12.5%","14.7%","6.6%","4.2%","5.4%","2.8%","0.9%","(X)","70.0%","65.1%","11.5%","9.1%","149,767","48.8%","51.2%","19,466","44.2%","55.8%","","213,815","95.3%","4.7%","95.3%","49.7%","11.2%","0.6%","0.0%","0.0%","0.0%","0.0%","4.4%","0.2%","0.4%","2.1%","0.1%","0.5%","0.3%","0.6%","0.2%","0.0%","0.1%","0.0%","0.0%","29.3%","4.7%","0.6%","0.9%","0.7%","0.2%","","213,815","53.3%","12.8%","1.9%","5.6%","0.3%","31.1%","","213,815","51.9%","38.2%","0.9%","0.5%","12.4%","48.1%","29.7%","10.8%","0.3%","4.3%","0.1%","0.5%","2.3%","0.1%","2.2%","(X)","","127,558","48.5%","51.5%"
"South Bay Cities CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","139,974","69,739","70,235","9,056","8,607","8,119","6,621","5,499","19,877","23,925","23,948","9,565","7,764","9,867","4,891","2,235","40.4","109,393","106,456","21,310","16,993","109,393","53,791","55,602","16,993","7,878","9,115","","139,974","131,320","8,654","131,320","109,031","2,875","574","32","0","11","6","14,294","1,342","3,375","1,919","2,943","2,474","770","1,471","326","12","67","201","46","4,220","8,654","620","794","4,132","115","","139,974","116,579","4,332","1,923","19,652","1,048","5,901","","139,974","19,896","11,446","674","475","7,301","120,078","95,337","2,750","447","14,171","278","567","6,528","198","6,330","62,748","","101,745","50,400","51,345"
"    Percent","","139,974","49.8%","50.2%","6.5%","6.1%","5.8%","4.7%","3.9%","14.2%","17.1%","17.1%","6.8%","5.5%","7.0%","3.5%","1.6%","(X)","78.2%","76.1%","15.2%","12.1%","109,393","49.2%","50.8%","16,993","46.4%","53.6%","","139,974","93.8%","6.2%","93.8%","77.9%","2.1%","0.4%","0.0%","0.0%","0.0%","0.0%","10.2%","1.0%","2.4%","1.4%","2.1%","1.8%","0.6%","1.1%","0.2%","0.0%","0.0%","0.1%","0.0%","3.0%","6.2%","0.4%","0.6%","3.0%","0.1%","","139,974","83.3%","3.1%","1.4%","14.0%","0.7%","4.2%","","139,974","14.2%","8.2%","0.5%","0.3%","5.2%","85.8%","68.1%","2.0%","0.3%","10.1%","0.2%","0.4%","4.7%","0.1%","4.5%","(X)","","101,745","49.5%","50.5%"
"South Gate-East Los Angeles CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","503,893","250,171","253,722","41,634","41,984","39,638","42,855","45,709","78,380","71,330","58,652","23,737","19,663","23,374","12,430","4,507","29.8","354,598","328,261","50,911","40,311","354,598","174,895","179,703","40,311","16,765","23,546","","503,893","496,482","7,411","496,482","310,926","8,361","2,316","28","25","125","5","4,430","251","1,253","1,067","651","352","491","365","489","98","73","32","286","169,960","7,411","740","1,130","351","98","","503,893","316,817","10,061","4,192","5,238","755","174,680","","503,893","480,598","415,482","1,611","2,427","61,078","23,295","10,217","7,115","282","4,229","398","330","724","31","693","126,784","","214,974","103,730","111,244"
"    Percent","","503,893","49.6%","50.4%","8.3%","8.3%","7.9%","8.5%","9.1%","15.6%","14.2%","11.6%","4.7%","3.9%","4.6%","2.5%","0.9%","(X)","70.4%","65.1%","10.1%","8.0%","354,598","49.3%","50.7%","40,311","41.6%","58.4%","","503,893","98.5%","1.5%","98.5%","61.7%","1.7%","0.5%","0.0%","0.0%","0.0%","0.0%","0.9%","0.0%","0.2%","0.2%","0.1%","0.1%","0.1%","0.1%","0.1%","0.0%","0.0%","0.0%","0.1%","33.7%","1.5%","0.1%","0.2%","0.1%","0.0%","","503,893","62.9%","2.0%","0.8%","1.0%","0.1%","34.7%","","503,893","95.4%","82.5%","0.3%","0.5%","12.1%","4.6%","2.0%","1.4%","0.1%","0.8%","0.1%","0.1%","0.1%","0.0%","0.1%","(X)","","214,974","48.3%","51.7%"
"Southwest San Gabriel Valley CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","324,264","157,668","166,596","17,164","15,608","18,038","18,289","22,478","45,561","44,035","48,356","23,410","19,558","26,632","16,517","8,618","40.9","261,938","251,020","63,045","51,767","261,938","125,585","136,353","51,767","22,052","29,715","","324,264","316,129","8,135","316,129","98,268","2,813","1,501","12","0","123","0","158,136","1,520","103,873","6,953","7,923","3,938","18,638","15,291","746","61","151","172","362","54,665","8,135","245","956","2,171","2","","324,264","104,067","3,613","2,945","162,652","1,727","57,973","","324,264","131,745","113,006","1,197","1,158","16,384","192,519","26,702","2,583","666","157,515","701","435","3,917","367","3,550","108,265","","204,564","98,130","106,434"
"    Percent","","324,264","48.6%","51.4%","5.3%","4.8%","5.6%","5.6%","6.9%","14.1%","13.6%","14.9%","7.2%","6.0%","8.2%","5.1%","2.7%","(X)","80.8%","77.4%","19.4%","16.0%","261,938","47.9%","52.1%","51,767","42.6%","57.4%","","324,264","97.5%","2.5%","97.5%","30.3%","0.9%","0.5%","0.0%","0.0%","0.0%","0.0%","48.8%","0.5%","32.0%","2.1%","2.4%","1.2%","5.7%","4.7%","0.2%","0.0%","0.0%","0.1%","0.1%","16.9%","2.5%","0.1%","0.3%","0.7%","0.0%","","324,264","32.1%","1.1%","0.9%","50.2%","0.5%","17.9%","","324,264","40.6%","34.8%","0.4%","0.4%","5.1%","59.4%","8.2%","0.8%","0.2%","48.6%","0.2%","0.1%","1.2%","0.1%","1.1%","(X)","","204,564","48.0%","52.0%"
"Torrance CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","147,589","72,118","75,471","8,028","8,261","8,796","8,905","9,053","17,243","19,911","25,042","10,549","7,975","11,963","7,725","4,138","41.8","116,969","111,603","28,325","23,826","116,969","56,297","60,672","23,826","10,197","13,629","","147,589","138,137","9,452","138,137","74,888","3,955","606","84","7","0","0","50,685","4,431","8,377","4,187","16,069","10,712","2,025","4,884","790","128","136","513","13","7,213","9,452","658","758","3,773","56","","147,589","82,553","5,882","2,287","56,177","1,573","9,717","","147,589","24,850","16,560","549","962","6,779","122,739","60,601","3,841","332","49,989","732","490","6,754","497","6,257","58,643","","101,501","49,511","51,990"
"    Percent","","147,589","48.9%","51.1%","5.4%","5.6%","6.0%","6.0%","6.1%","11.7%","13.5%","17.0%","7.1%","5.4%","8.1%","5.2%","2.8%","(X)","79.3%","75.6%","19.2%","16.1%","116,969","48.1%","51.9%","23,826","42.8%","57.2%","","147,589","93.6%","6.4%","93.6%","50.7%","2.7%","0.4%","0.1%","0.0%","0.0%","0.0%","34.3%","3.0%","5.7%","2.8%","10.9%","7.3%","1.4%","3.3%","0.5%","0.1%","0.1%","0.3%","0.0%","4.9%","6.4%","0.4%","0.5%","2.6%","0.0%","","147,589","55.9%","4.0%","1.5%","38.1%","1.1%","6.6%","","147,589","16.8%","11.2%","0.4%","0.7%","4.6%","83.2%","41.1%","2.6%","0.2%","33.9%","0.5%","0.3%","4.6%","0.3%","4.2%","(X)","","101,501","48.8%","51.2%"
"Upper San Gabriel Valley CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","330,407","160,144","170,263","19,163","20,126","21,369","21,846","21,812","43,640","45,664","48,792","23,158","18,915","24,914","14,022","6,986","39.1","255,409","243,577","57,322","45,922","255,409","122,485","132,924","45,922","19,521","26,401","","330,407","321,983","8,424","321,983","160,933","6,716","1,343","88","0","14","8","110,007","2,395","74,276","6,865","2,617","2,983","13,037","7,834","682","21","38","274","349","42,302","8,424","623","979","2,486","112","","330,407","167,429","7,986","3,076","114,293","1,294","45,483","","330,407","146,405","129,269","785","901","15,450","184,002","61,594","6,342","513","109,483","666","658","4,746","774","3,972","107,820","","198,714","95,352","103,362"
"    Percent","","330,407","48.5%","51.5%","5.8%","6.1%","6.5%","6.6%","6.6%","13.2%","13.8%","14.8%","7.0%","5.7%","7.5%","4.2%","2.1%","(X)","77.3%","73.7%","17.3%","13.9%","255,409","48.0%","52.0%","45,922","42.5%","57.5%","","330,407","97.5%","2.5%","97.5%","48.7%","2.0%","0.4%","0.0%","0.0%","0.0%","0.0%","33.3%","0.7%","22.5%","2.1%","0.8%","0.9%","3.9%","2.4%","0.2%","0.0%","0.0%","0.1%","0.1%","12.8%","2.5%","0.2%","0.3%","0.8%","0.0%","","330,407","50.7%","2.4%","0.9%","34.6%","0.4%","13.8%","","330,407","44.3%","39.1%","0.2%","0.3%","4.7%","55.7%","18.6%","1.9%","0.2%","33.1%","0.2%","0.2%","1.4%","0.2%","1.2%","(X)","","198,714","48.0%","52.0%"
"Whittier CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","325,794","158,971","166,823","20,551","21,000","21,557","24,907","26,413","45,293","43,050","43,521","19,791","16,552","22,437","14,287","6,435","35.8","248,276","232,550","52,480","43,159","248,276","119,367","128,909","43,159","18,008","25,151","","325,794","314,314","11,480","314,314","181,705","4,638","2,931","181","101","84","58","22,176","1,814","3,416","6,298","1,543","6,120","1,097","1,888","336","152","62","66","56","102,528","11,480","644","1,379","2,121","90","","325,794","191,591","5,978","5,128","26,028","980","108,766","","325,794","230,777","202,457","2,052","1,319","24,949","95,017","63,379","3,800","1,120","21,591","216","973","3,938","395","3,543","96,545","","214,516","102,544","111,972"
"    Percent","","325,794","48.8%","51.2%","6.3%","6.4%","6.6%","7.6%","8.1%","13.9%","13.2%","13.4%","6.1%","5.1%","6.9%","4.4%","2.0%","(X)","76.2%","71.4%","16.1%","13.2%","248,276","48.1%","51.9%","43,159","41.7%","58.3%","","325,794","96.5%","3.5%","96.5%","55.8%","1.4%","0.9%","0.1%","0.0%","0.0%","0.0%","6.8%","0.6%","1.0%","1.9%","0.5%","1.9%","0.3%","0.6%","0.1%","0.0%","0.0%","0.0%","0.0%","31.5%","3.5%","0.2%","0.4%","0.7%","0.0%","","325,794","58.8%","1.8%","1.6%","8.0%","0.3%","33.4%","","325,794","70.8%","62.1%","0.6%","0.4%","7.7%","29.2%","19.5%","1.2%","0.3%","6.6%","0.1%","0.3%","1.2%","0.1%","1.1%","(X)","","214,516","47.8%","52.2%"
