"Label (Grouping)","SEX AND AGE","SEX AND AGE!!Total population","SEX AND AGE!!Total population!!Male","SEX AND AGE!!Total population!!Female","SEX AND AGE!!Under 5 years","SEX AND AGE!!5 to 9 years","SEX AND AGE!!10 to 14 years","SEX AND AGE!!15 to 19 years","SEX AND AGE!!20 to 24 years","SEX AND AGE!!25 to 34 years","SEX AND AGE!!35 to 44 years","SEX AND AGE!!45 to 54 years","SEX AND AGE!!55 to 59 years","SEX AND AGE!!60 to 64 years","SEX AND AGE!!65 to 74 years","SEX AND AGE!!75 to 84 years","SEX AND AGE!!85 years and over","SEX AND AGE!!Median age (years)","SEX AND AGE!!18 years and over","SEX AND AGE!!21 years and over","SEX AND AGE!!62 years and over","SEX AND AGE!!65 years and over","SEX AND AGE!!18 years and over","SEX AND AGE!!18 years and over!!Male","SEX AND AGE!!18 years and over!!Female","SEX AND AGE!!65 years and over","SEX AND AGE!!65 years and over!!Male","SEX AND AGE!!65 years and over!!Female","RACE","RACE!!Total population","RACE!!Total population!!One race","RACE!!Total population!!Two or more races","RACE!!One race","RACE!!One race!!White","RACE!!One race!!Black or African American","RACE!!One race!!American Indian and Alaska Native","RACE!!One race!!American Indian and Alaska Native!!Cherokee tribal grouping","RACE!!One race!!American Indian and Alaska Native!!Chippewa tribal grouping","RACE!!One race!!American Indian and Alaska Native!!Navajo tribal grouping","RACE!!One race!!American Indian and Alaska Native!!Sioux tribal grouping","RACE!!One race!!Asian","RACE!!One race!!Asian!!Asian Indian","RACE!!One race!!Asian!!Chinese","RACE!!One race!!Asian!!Filipino","RACE!!One race!!Asian!!Japanese","RACE!!One race!!Asian!!Korean","RACE!!One race!!Asian!!Vietnamese","RACE!!One race!!Asian!!Other Asian","RACE!!One race!!Native Hawaiian and Other Pacific Islander","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Native Hawaiian","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Guamanian or Chamorro","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Samoan","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Other Pacific Islander","RACE!!One race!!Some other race","RACE!!Two or more races","RACE!!Two or more races!!White and Black or African American","RACE!!Two or more races!!White and American Indian and Alaska Native","RACE!!Two or more races!!White and Asian","RACE!!Two or more races!!Black or African American and American Indian and Alaska Native","RACE!!Race alone or in combination with one or more other races","RACE!!Race alone or in combination with one or more other races!!Total population","RACE!!Race alone or in combination with one or more other races!!Total population!!White","RACE!!Race alone or in combination with one or more other races!!Total population!!Black or African American","RACE!!Race alone or in combination with one or more other races!!Total population!!American Indian and Alaska Native","RACE!!Race alone or in combination with one or more other races!!Total population!!Asian","RACE!!Race alone or in combination with one or more other races!!Total population!!Native Hawaiian and Other Pacific Islander","RACE!!Race alone or in combination with one or more other races!!Total population!!Some other race","HISPANIC OR LATINO AND RACE","HISPANIC OR LATINO AND RACE!!Total population","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Mexican","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Puerto Rican","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Cuban","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Other Hispanic or Latino","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!White alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Black or African American alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!American Indian and Alaska Native alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Asian alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Some other race alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and Three or more races","HISPANIC OR LATINO AND RACE!!Total housing units","CITIZEN, VOTING AGE POPULATION","CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population","CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population!!Male","CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population!!Female"
"Inglewood CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","374,065","180,342","193,723","27,113","26,321","25,846","24,716","28,647","59,828","51,907","49,674","21,992","17,865","23,567","11,561","5,028","34.0","279,970","264,246","49,837","40,156","279,970","131,734","148,236","40,156","16,695","23,461","","374,065","353,721","20,344","353,721","116,839","107,848","2,247","89","2","14","19","29,405","1,698","2,839","6,513","5,794","4,183","5,228","3,150","2,265","342","176","510","1,237","95,117","20,344","3,004","4,402","2,395","1,745","","374,065","132,600","117,185","11,425","34,443","3,468","99,365","","374,065","197,301","143,689","1,693","2,103","49,816","176,764","28,864","105,409","368","28,569","2,139","1,818","9,597","423","9,174","126,782","","215,923","98,831","117,092"
"    Percent","","374,065","48.2%","51.8%","7.2%","7.0%","6.9%","6.6%","7.7%","16.0%","13.9%","13.3%","5.9%","4.8%","6.3%","3.1%","1.3%","(X)","74.8%","70.6%","13.3%","10.7%","279,970","47.1%","52.9%","40,156","41.6%","58.4%","","374,065","94.6%","5.4%","94.6%","31.2%","28.8%","0.6%","0.0%","0.0%","0.0%","0.0%","7.9%","0.5%","0.8%","1.7%","1.5%","1.1%","1.4%","0.8%","0.6%","0.1%","0.0%","0.1%","0.3%","25.4%","5.4%","0.8%","1.2%","0.6%","0.5%","","374,065","35.4%","31.3%","3.1%","9.2%","0.9%","26.6%","","374,065","52.7%","38.4%","0.5%","0.6%","13.3%","47.3%","7.7%","28.2%","0.1%","7.6%","0.6%","0.5%","2.6%","0.1%","2.5%","(X)","","215,923","45.8%","54.2%"
"Long Beach-Lakewood CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","578,060","284,741","293,319","40,642","36,857","36,071","40,911","46,798","90,465","81,559","80,384","33,838","29,092","36,665","17,012","7,766","34.7","439,304","414,337","77,963","61,443","439,304","213,608","225,696","61,443","27,672","33,771","","578,060","546,532","31,528","546,532","306,585","68,975","6,111","126","24","177","163","80,105","3,901","6,302","29,058","3,255","4,186","5,787","27,616","5,866","365","823","3,800","878","78,890","31,528","4,436","4,091","7,161","1,620","","578,060","331,084","79,929","15,678","91,522","9,161","86,896","","578,060","241,850","199,709","3,890","1,585","36,666","336,210","164,933","66,475","1,767","78,629","5,546","1,250","17,610","700","16,910","209,192","","369,417","178,636","190,781"
"    Percent","","578,060","49.3%","50.7%","7.0%","6.4%","6.2%","7.1%","8.1%","15.6%","14.1%","13.9%","5.9%","5.0%","6.3%","2.9%","1.3%","(X)","76.0%","71.7%","13.5%","10.6%","439,304","48.6%","51.4%","61,443","45.0%","55.0%","","578,060","94.5%","5.5%","94.5%","53.0%","11.9%","1.1%","0.0%","0.0%","0.0%","0.0%","13.9%","0.7%","1.1%","5.0%","0.6%","0.7%","1.0%","4.8%","1.0%","0.1%","0.1%","0.7%","0.2%","13.6%","5.5%","0.8%","0.7%","1.2%","0.3%","","578,060","57.3%","13.8%","2.7%","15.8%","1.6%","15.0%","","578,060","41.8%","34.5%","0.7%","0.3%","6.3%","58.2%","28.5%","11.5%","0.3%","13.6%","1.0%","0.2%","3.0%","0.1%","2.9%","(X)","","369,417","48.4%","51.6%"
"Los Angeles CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","2,574,716","1,275,256","1,299,460","160,334","147,565","142,892","162,777","213,139","476,145","380,391","334,261","143,702","121,473","160,107","87,936","43,994","34.6","2,036,993","1,918,674","361,276","292,037","2,036,993","1,003,149","1,033,844","292,037","123,976","168,061","","2,574,716","2,480,568","94,148","2,480,568","1,216,362","310,966","20,519","413","90","295","83","310,069","19,966","64,138","69,254","25,485","90,996","11,659","28,571","4,664","822","697","1,713","1,432","617,988","94,148","13,384","11,081","25,271","3,518","","2,574,716","1,291,593","340,553","43,247","347,763","10,461","645,204","","2,574,716","1,229,212","823,557","11,427","8,769","385,459","1,345,504","662,605","301,929","3,515","306,052","4,027","9,830","57,546","4,240","53,306","1,009,504","","1,507,203","731,808","775,395"
"    Percent","","2,574,716","49.5%","50.5%","6.2%","5.7%","5.5%","6.3%","8.3%","18.5%","14.8%","13.0%","5.6%","4.7%","6.2%","3.4%","1.7%","(X)","79.1%","74.5%","14.0%","11.3%","2,036,993","49.2%","50.8%","292,037","42.5%","57.5%","","2,574,716","96.3%","3.7%","96.3%","47.2%","12.1%","0.8%","0.0%","0.0%","0.0%","0.0%","12.0%","0.8%","2.5%","2.7%","1.0%","3.5%","0.5%","1.1%","0.2%","0.0%","0.0%","0.1%","0.1%","24.0%","3.7%","0.5%","0.4%","1.0%","0.1%","","2,574,716","50.2%","13.2%","1.7%","13.5%","0.4%","25.1%","","2,574,716","47.7%","32.0%","0.4%","0.3%","15.0%","52.3%","25.7%","11.7%","0.1%","11.9%","0.2%","0.4%","2.2%","0.2%","2.1%","(X)","","1,507,203","48.6%","51.4%"
"Newhall CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","264,701","134,367","130,334","16,255","19,247","20,980","20,782","16,871","33,504","37,555","42,846","17,170","12,861","15,805","7,230","3,595","36.3","195,131","183,710","34,005","26,630","195,131","98,614","96,517","26,630","11,374","15,256","","264,701","247,839","16,862","247,839","185,797","10,975","1,471","42","0","17","0","30,314","3,839","2,900","12,722","1,624","5,627","837","2,765","356","63","79","109","105","18,926","16,862","2,386","4,434","4,536","769","","264,701","200,658","15,304","7,758","36,369","1,297","21,775","","264,701","84,003","61,443","1,579","1,649","19,332","180,698","128,645","10,319","330","29,894","342","387","10,781","323","10,458","85,572","","173,461","87,830","85,631"
"    Percent","","264,701","50.8%","49.2%","6.1%","7.3%","7.9%","7.9%","6.4%","12.7%","14.2%","16.2%","6.5%","4.9%","6.0%","2.7%","1.4%","(X)","73.7%","69.4%","12.8%","10.1%","195,131","50.5%","49.5%","26,630","42.7%","57.3%","","264,701","93.6%","6.4%","93.6%","70.2%","4.1%","0.6%","0.0%","0.0%","0.0%","0.0%","11.5%","1.5%","1.1%","4.8%","0.6%","2.1%","0.3%","1.0%","0.1%","0.0%","0.0%","0.0%","0.0%","7.1%","6.4%","0.9%","1.7%","1.7%","0.3%","","264,701","75.8%","5.8%","2.9%","13.7%","0.5%","8.2%","","264,701","31.7%","23.2%","0.6%","0.6%","7.3%","68.3%","48.6%","3.9%","0.1%","11.3%","0.1%","0.1%","4.1%","0.1%","4.0%","(X)","","173,461","50.6%","49.4%"
"North Antelope Valley CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","191,699","95,885","95,814","14,778","14,568","14,851","15,325","13,538","27,157","23,891","25,772","12,206","9,872","12,264","5,238","2,239","33.1","138,156","128,933","25,262","19,741","138,156","67,986","70,170","19,741","8,536","11,205","","191,699","183,497","8,202","183,497","126,110","36,217","951","77","0","25","0","6,862","564","525","3,301","288","627","272","1,285","422","258","101","29","34","12,935","8,202","1,614","1,143","1,074","390","","191,699","132,497","39,783","3,418","8,713","1,077","15,564","","191,699","72,940","55,201","1,377","629","15,733","118,759","70,932","35,313","424","6,587","400","247","4,856","149","4,707","65,250","","127,475","62,416","65,059"
"    Percent","","191,699","50.0%","50.0%","7.7%","7.6%","7.7%","8.0%","7.1%","14.2%","12.5%","13.4%","6.4%","5.1%","6.4%","2.7%","1.2%","(X)","72.1%","67.3%","13.2%","10.3%","138,156","49.2%","50.8%","19,741","43.2%","56.8%","","191,699","95.7%","4.3%","95.7%","65.8%","18.9%","0.5%","0.0%","0.0%","0.0%","0.0%","3.6%","0.3%","0.3%","1.7%","0.2%","0.3%","0.1%","0.7%","0.2%","0.1%","0.1%","0.0%","0.0%","6.7%","4.3%","0.8%","0.6%","0.6%","0.2%","","191,699","69.1%","20.8%","1.8%","4.5%","0.6%","8.1%","","191,699","38.0%","28.8%","0.7%","0.3%","8.2%","62.0%","37.0%","18.4%","0.2%","3.4%","0.2%","0.1%","2.5%","0.1%","2.5%","(X)","","127,475","49.0%","51.0%"
"Palos Verdes CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","92,760","44,153","48,607","3,863","5,413","6,518","6,384","3,948","6,911","10,171","16,464","7,273","5,934","9,755","7,132","2,994","47.2","72,321","69,789","23,242","19,881","72,321","34,178","38,143","19,881","8,996","10,885","","92,760","86,800","5,960","86,800","58,445","2,165","155","46","3","0","0","20,960","1,195","6,243","1,571","5,320","4,383","280","1,968","454","126","48","10","270","4,621","5,960","420","807","2,967","0","","92,760","63,464","2,777","1,092","25,020","881","5,778","","92,760","15,644","11,478","504","393","3,269","77,116","49,118","2,083","101","20,846","454","328","4,186","362","3,824","37,711","","65,921","31,338","34,583"
"    Percent","","92,760","47.6%","52.4%","4.2%","5.8%","7.0%","6.9%","4.3%","7.5%","11.0%","17.7%","7.8%","6.4%","10.5%","7.7%","3.2%","(X)","78.0%","75.2%","25.1%","21.4%","72,321","47.3%","52.7%","19,881","45.2%","54.8%","","92,760","93.6%","6.4%","93.6%","63.0%","2.3%","0.2%","0.0%","0.0%","0.0%","0.0%","22.6%","1.3%","6.7%","1.7%","5.7%","4.7%","0.3%","2.1%","0.5%","0.1%","0.1%","0.0%","0.3%","5.0%","6.4%","0.5%","0.9%","3.2%","0.0%","","92,760","68.4%","3.0%","1.2%","27.0%","0.9%","6.2%","","92,760","16.9%","12.4%","0.5%","0.4%","3.5%","83.1%","53.0%","2.2%","0.1%","22.5%","0.5%","0.4%","4.5%","0.4%","4.1%","(X)","","65,921","47.5%","52.5%"
"Pasadena CCD, Los Angeles County, California","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","273,855","133,795","140,060","14,662","14,904","16,024","15,914","15,944","40,125","38,007","39,227","19,390","16,568","23,718","13,155","6,217","40.3","218,132","209,320","52,364","43,090","218,132","103,634","114,498","43,090","18,257","24,833","","273,855","260,948","12,907","260,948","152,820","26,279","593","44","0","16","0","54,258","3,756","21,822","6,743","4,553","11,621","1,676","4,087","350","119","55","9","167","26,648","12,907","2,173","1,195","4,560","288","","273,855","163,501","30,548","2,643","60,840","890","29,561","","273,855","73,352","54,961","932","1,036","16,423","200,503","111,324","25,082","153","53,500","309","1,081","9,054","255","8,799","110,171","","187,032","88,455","98,577"
